n,avg_comp,avg_ptr,avg_height,max_comp,max_ptr,max_height
10000,3.51861,9.33904,2501.58,14999,74983,10000
20000,3.79691,9.45491,5001.79,29999,149983,20000
30000,3.68951,9.47277,7501.8,44999,224983,30000
40000,3.70691,9.552,10001.7,59999,299983,40000
50000,3.58003,9.241,12501.8,74999,374983,50000
60000,3.64789,9.32933,15001.7,89999,449983,60000
70000,3.46486,9.13771,17501.5,104999,524983,70000
80000,3.657,9.33724,20001.8,119999,599983,80000
90000,3.67391,9.45963,22501.8,134999,674983,90000
100000,3.72989,9.37615,25001.8,149999,749983,100000
