n,Average_Cost_Per_Operation
100,15.843333
200,18.786667
300,20.428889
400,21.636667
500,22.655333
600,23.318333
700,24.069048
800,24.660833
900,25.128519
1000,25.677667
1100,26.013333
1200,26.386667
1300,26.706667
1400,27.096190
1500,27.365556
1600,27.657083
1700,27.889216
1800,28.175370
1900,28.402105
2000,28.671167
2100,28.876508
2200,29.064697
2300,29.287101
2400,29.430694
2500,29.581200
2600,29.783974
2700,29.961111
2800,30.063810
2900,30.254253
3000,30.453222
3100,30.624086
3200,30.709583
3300,30.809495
3400,30.940784
3500,31.092476
3600,31.284444
3700,31.358018
3800,31.475263
3900,31.665641
4000,31.769667
4100,31.933577
4200,31.963968
4300,32.035814
4400,32.136212
4500,32.241926
4600,32.360652
4700,32.433617
4800,32.528194
4900,32.571156
5000,32.699467
5100,32.836340
5200,32.899679
5300,32.976289
5400,33.052654
5500,33.139273
5600,33.212440
5700,33.308480
5800,33.397529
5900,33.467740
6000,33.576000
6100,33.657213
6200,33.721613
6300,33.757143
6400,33.839896
6500,33.877026
6600,33.967525
6700,34.031692
6800,34.104069
6900,34.149324
7000,34.231429
7100,34.299765
7200,34.382083
7300,34.419543
7400,34.488288
7500,34.543467
7600,34.613684
7700,34.720390
7800,34.765427
7900,34.830802
8000,34.911208
8100,34.999424
8200,35.050122
8300,35.072129
8400,35.118135
8500,35.145059
8600,35.188333
8700,35.250268
8800,35.259886
8900,35.328502
9000,35.365704
9100,35.406300
9200,35.497681
9300,35.506738
9400,35.533794
9500,35.606596
9600,35.627326
9700,35.702027
9800,35.746803
9900,35.782795
10000,35.845533
